ElapsedTime, Axis_A, Axis_B, Axis_C, Axis_D, Axis_E
139.058658, 0.0,1.7676231722287725,1.3993363832021457,1.7457444432410716,2.850443324554401
140.067945, 0.0,1.7776821885253196,1.4864317098389017,1.6801335957171415,2.7523281070379304
141.045916, 0.0,1.737122009961509,1.5571337075561777,1.5641886242229555,2.6929841003439803
142.046045, 0.0,1.6884722989286753,1.6218165533531552,1.4475119859131322,2.6496000051713016
143.035408, 0.0,1.6164280771397324,1.6762794157490242,1.3207204991166985,2.6424423389372085
144.036979, 0.0,1.5479393252488742,1.7343174828736194,1.19112500412052,2.6337204472814695
145.040316, 0.0,1.4898942436423264,1.8007834356822146,1.0562934508823234,2.621038767142
146.051213, 0.0,1.425775879034302,1.8642808228874328,0.9289415386853462,2.608983828126224
147.020883, 0.0,1.3434192379344985,1.9251787123115853,0.8103126423678524,2.597567673195844
148.014002, 0.0,1.2637951659751454,1.9801515451016174,0.7016866730262111,2.586175911180441
149.028597, 0.0,1.169387495549635,2.0352061506693406,0.5886246372059452,2.5717500802393727
150.030433, 0.0,1.0896755528786006,2.0906042524397104,0.473521707017646,2.553376699310979
151.029127, 0.0,1.0373229295826083,2.154469533203137,0.3373711955996726,2.5222153611077553
152.028486, 0.0,1.0013297933183731,2.1983777771143376,0.2437658783989288,2.5007915198269997
153.011481, 0.0,1.0005521662977466,2.199326409004678,0.24174354771356515,2.5003286605267365
154.008384, 0.0,1.0136268729281068,2.1833764963318836,0.27574619872259276,2.5081109902889667
155.004476, 0.0,1.0622467146101224,2.1240648610971684,0.40218907473626453,2.537050503105965
156.005012, 0.0,1.1182215105636444,2.0678887155893024,0.5210974681780104,2.5619758748884705
156.995139, 0.0,1.1992369179685651,2.0147838165286727,0.6310980219823978,2.578504949547575
157.988065, 0.0,1.2779521337830213,1.9645083678952335,0.7334473354543819,2.591713679482605
158.980439, 0.0,1.3653168333233319,1.9119156661515724,0.8360553964757809,2.5994555709472595
159.971155, 0.0,1.4414030838001832,1.8565805697895286,0.9438737703795179,2.6097745443689826
160.972465, 0.0,1.4911856974837874,1.7913072045680325,1.0707028865237858,2.6274329815535156
161.968309, 0.0,1.5460345404895541,1.7319154952259528,1.1930279060502857,2.637609410576804
162.980067, 0.0,1.6215335423653436,1.6840145578937,1.3143478402430573,2.6265373723554375
163.978742, 0.0,1.6879020879365878,1.6330598347347958,1.4325325341954742,2.632048393921136
164.965708, 0.0,1.7377150356892788,1.5695479610260787,1.5541867196381882,2.6797246259771086
166.009969, 0.0,1.7686783993810336,1.4988488931259858,1.657228826102044,2.7426299621024404
166.946116, 0.0,1.7608927865495931,1.414163973341949,1.721317329161756,2.83600107088686
167.966860, 0.0,1.7392512267097961,1.3549912665399433,1.7764911369505252,2.9244055363646004
168.935782, 0.0,1.6831659811129884,1.338221592063687,1.8241698807398379,3.020873342796047
169.935468, 0.0,1.624655506586711,1.354916074138488,1.8674364932985517,3.1017251437868163
170.923652, 0.0,1.5485771450745562,1.454255438806288,1.9089940790580842,3.1619222663185416
171.924902, 0.0,1.4830486436615298,1.5572863030150759,1.939565670090003,3.2174329107263495
172.920036, 0.0,1.4392031094041402,1.6769180139427675,1.944862521429223,3.2652008108239485
173.922455, 0.0,1.4016442488323453,1.7728812090025923,1.9325573869446167,3.3361286329082382
174.907800, 0.0,1.378462829746705,1.8126357761981087,1.8746217052527978,3.4695999449013346
175.899051, 0.0,1.3570771609318222,1.857670281916627,1.8228624909328979,3.5822720241107464
176.893899, 0.0,1.3357344076932818,1.9264229245128774,1.7760160383031993,3.664927579816287
177.921313, 0.0,1.3025134080735095,2.001347345578059,1.7353999241617142,3.734110586153387
178.877398, 0.0,1.2406331085463953,2.0894453215806297,1.7115447802642,3.7676048360285423
179.865839, 0.0,1.176232233076318,2.1498018559772043,1.6901239437784354,3.8162557392023366
180.865399, 0.0,1.0723245589142778,2.179399009129097,1.6629316601679127,3.924592553908875
181.877940, 0.0,1.0017389903736034,2.1995046644549383,1.6444596578442459,3.9981868838909076
182.845699, 0.0,1.0007219933062694,2.1997943467926446,1.6441935131835264,3.999247231201435
183.844926, 0.0,1.0282223093990734,2.192340525243719,1.6513490067632375,3.9704076746552297
184.843864, 0.0,1.1278809469475193,2.1652948330931183,1.6772835290493622,3.865910597496601
185.851978, 0.0,1.2177006867287732,2.1212174288898518,1.7027001256982786,3.780657248991179
186.828864, 0.0,1.2768901202397525,2.0378996841337,1.7250754914429096,3.7490681425179804
187.838097, 0.0,1.3250435309764081,1.9589096821326395,1.7543850902407376,3.703046733339867
188.824965, 0.0,1.346536403188966,1.8904032899603602,1.8004177281421139,3.622212293289803
189.825563, 0.0,1.3681592141312748,1.8309177964103212,1.8491649466668405,3.527892772195959
190.806637, 0.0,1.3911095920825491,1.7914620630476368,1.9070201358469487,3.3951614969918933
191.810046, 0.0,1.4193013085068618,1.7305188769603548,1.9463170144996285,3.2886682291030684
192.799535, 0.0,1.462614947629651,1.6114861403108012,1.9420133060469122,3.240177867946555
